abad	es	abbot	abbot	en	abbot
abadesa	es	abbess	abbot	en	abbot
abadesa	pt	abbess	abbot	en	abbot
abadessa	pt	abbess	abbot	en	abbot
abandonner	frm	to abandon	abandon	en	abandon
abertura	es	aperture;opening	aperture	en	aperture
abertura	pt	orifice;opening	aperture	en	aperture
abîme	fr	chasm;abyss;infiniteness of thought;hell	abyss	en	abyss
abito	it	scapular;bearing;habitus;coat;aptitude;appearance;disposition;a birds plumage;bent;habit;garment	habitus	en	habitus
abóbada	pt	vault	volte	en	volte
abstinent	fr	abstinent;teetotal	abstinent	en	abstinent
abstinent	frm	abstinent	abstinent	en	abstinent
abus	fr	abuse	abuse	en	abuse
acabar	pt	just;to;to finish;to have just;to  with;to complete;to destroy completely;to defeat thoroughly	ad	en	ad
accuser	frm	to accuse	accuse	en	accuse
accuser	fr	to show;to reveal;to accuse	accuse	en	accuse
acedo	es	tart;soured;bittered;unpleasant;acid;sour;disagreeable;bleak	eisel	en	eisel
aceră	ro	eagle	eagle	en	eagle
aceto	it	vinegar	eisel	en	eisel
açor	pt	goshawk	accipiter	en	accipiter
açor	pt	goshawk	Azores	en	Azores
acqua	it	body of water;water;stretch or expanse of water	aqua	en	aqua
adorer	fr	to love;to adore	adore	en	adore
adro	pt	churchyard	atrium	en	atrium
advis	frm	opinion	avviso	it	announcement;advertisement;sign;notice
a	es	Name of the letter	ad	en	ad
afară	ro	outside	ad	en	ad
affronter	fr	to confront;face	ad	en	ad
a	frm	towards;to	ad	en	ad
à	fr	on;in;to;or;from;until;by;at;of;on the;with;till;cooked in or with	ad	en	ad
afrontar	es	to face;cope with;bear;to brave;to defy;address;meet;deal with;tackle;manage;confront;handle	ad	en	ad
afrontar	pt	to confront;to cause sickness;abuse	ad	en	ad
afuma	ro	to smoke	ad	en	ad
afunda	ro	immerse;dip;immerge;sink;to plunge	ad	en	ad
agir	es	to sue;to act;to do something	act	en	act
agir	fr	to act on;be all about;behave;be a question of;to be;to act;to do	act	en	act
agir	pt	to perform;to proceed;to behave;to conduct oneself in a specific manner;to do something;to function;to act	act	en	act
agua	es	pop;river;body of water;rain;infusion;stream;water;soda	aqua	en	aqua
agua	osp	water	aqua	en	aqua
água	pt	waters;rain;amniotic fluid;water	aqua	en	aqua
águia	pt	eagle	eagle	en	eagle
águila	es	shrewd person;crack;whizz;eagle	eagle	en	eagle
aguila	osp	eagle	eagle	en	eagle
ahí	es	that;there	ad	en	ad
aia	it	farmyard	area	en	area
aici	ro	here	ad	en	ad
aide	fr	help;support;assist	aide	en	aide
aigle	frm	eagle	eagle	en	eagle
aile	fr	ala;wing;side;blade	aisle	en	aisle
aile	fr	ala;wing;side;blade	ala	en	ala
air	fr	appearance;air	air	en	air
ais	fr	board;plank	axis	en	axis
aisle	frm	wing	aisle	en	aisle
aisle	frm	wing	ala	en	ala
a	it	a	ad	en	ad
aître	fr	the land surrounding a church	atrium	en	atrium
ala	es	brim;wing	aisle	en	aisle
ala	es	brim;wing	ala	en	ala
ala	it	wing	aisle	en	aisle
ala	it	wing	ala	en	ala
ala	osp	wing	aisle	en	aisle
ala	osp	wing	ala	en	ala
albâtre	fr	alabaster	alabaster	en	alabaster
alga	es	alga	alga	en	alga
