abad	es	abbot	abate	it	abbot
abad	es	abbot	abbé	fr	the head of an abbey;an abbot
abadesa	es	abbess	abad	es	abbot
abadesa	es	abbess	abate	it	abbot
abadesa	es	abbess	abbé	fr	the head of an abbey;an abbot
abadesa	pt	abbess	abad	es	abbot
abadesa	pt	abbess	abadessa	pt	abbess
abadesa	pt	abbess	abate	it	abbot
abadesa	pt	abbess	abbé	fr	the head of an abbey;an abbot
abadessa	pt	abbess	abad	es	abbot
abadessa	pt	abbess	abate	it	abbot
abadessa	pt	abbess	abbé	fr	the head of an abbey;an abbot
aba	pt	brim;tab	aripă	ro	faction;wing;vane
aba	pt	brim;tab	aube	fr	dawn;sunrise;daybreak
abbas	la	an abbot	abad	es	abbot
abbas	la	an abbot	abadesa	es	abbess
abbas	la	an abbot	abadesa	pt	abbess
abbas	la	an abbot	abadessa	pt	abbess
abed	en	abed	bed	en	bed
abeille	frm	honey bee	abeille	fr	a writer whose style is considered pure like honey;bee;honeybee
abeja	osp	bee	abeja	es	bee
abellana	la	filbert;hazelnut	alună	ro	hazel;testicle;filbert;hazelnut
abellana	la	filbert;hazelnut	avelã	pt	hazel
abellana	la	filbert;hazelnut	avellana	es	hazelnut
abertura	es	aperture;opening	abertura	pt	orifice;opening
abertura	es	aperture;opening	apertura	es	aperture;opening ceremony;opening
abertura	es	aperture;opening	apertura	it	fly-half;open-mindedness;broad-mindedness;slot;opening;openness
abertura	es	aperture;opening	aperture	fr	openness;aperture;opening
abertura	pt	orifice;opening	abertura	es	aperture;opening
abertura	pt	orifice;opening	apertura	es	aperture;opening ceremony;opening
abertura	pt	orifice;opening	apertura	it	fly-half;open-mindedness;broad-mindedness;slot;opening;openness
abertura	pt	orifice;opening	aperture	fr	openness;aperture;opening
abhorrer	frm	to abhor	abhorrer	fr	to abominate;to loathe;to abhor
abîme	fr	chasm;abyss;infiniteness of thought;hell	abismo	es	abyss
abîme	fr	chasm;abyss;infiniteness of thought;hell	abismo	pt	abyss
abîme	fr	chasm;abyss;infiniteness of thought;hell	abisso	it	abyss;gulf
abismo	osp	abyss;the deep	abismo	es	abyss
abito	it	scapular;bearing;habitus;coat;aptitude;appearance;disposition to be or act in a certain way;a birds plumage;bent;habit;garment	hábito	es	habit;insignia;custom
abito	it	scapular;bearing;habitus;coat;aptitude;appearance;disposition to be or act in a certain way;a birds plumage;bent;habit;garment	hábito	pt	habit
ab	la	out of;on;by means of;away from;in;to;from;at;with;by	avancer	fr	to go forward;to go up to;to bring forward;to move towards;to approach;to advance
ab	la	out of;on;by means of;away from;in;to;from;at;with;by	avant	fr	beforehand;earlier
ably	en	ably	able	en	able
abóbada	pt	vault	boltă	ro	dome;cupola;arch
abóbada	pt	vault	volta	it	instance;time;turn;occasion
abóbada	pt	vault	voluta	es	wisp
abóbada	pt	vault	voluta	it	curl;volute;spiral
abóbada	pt	vault	volute	fr	volute
abóbada	pt	vault	vuelta	es	lap;change;walk;turn
abril	es	April	aprile	it	April
abril	es	April	prier	ro	April
abril	pt	April	abril	es	April
abril	pt	April	aprile	it	April
abril	pt	April	prier	ro	April
abstinence	fr	abstinence	abstinence	frm	abstinence
abstinence	frm	abstinence	abstinence	fr	abstinence
abstinent	fr	abstinent;teetotal	abstinent	frm	abstinent
abstinent	frm	abstinent	abstinent	fr	abstinent;teetotal
abuela	es	grandmother	aia	pt	chambermaid;lady-in-waiting
abyssus	la	an abyss	abîme	fr	chasm;abyss;infiniteness of thought;hell
acabar	es	to be done;to be finished;to be over;to cum;to orgasm;to be up;to run out of;to end;to finish;to be no more;to end up;to be it;to come to an end	caput	pt	that which is located above
açada	osp	plowshare	azada	es	hoe
ação	pt	share;action	acción	es	deed;act;combat;lawsuit;general legal action;action
ação	pt	share;action	action	fr	share;deed;act;campaign;stock;a special offer;action
accepter	frm	to accept	accepter	fr	to accept
accepter	fr	to accept	accepter	frm	to accept
acciaio	it	steel	acier	fr	steel
acciaio	it	steel	haz	es	bundle
accia	it	hemp or flax;a fabric made from a quarter wool and three-quarters cotton	ață	ro	string;thread
accipiter	la	hawk;merlin	açor	pt	goshawk
accorder	frm	to agree	accorder	fr	to award;to grant;to make agree
accuser	frm	to accuse	accuser	fr	to show;to reveal;to accuse
accuser	fr	to show;to reveal;to accuse	accuser	frm	to accuse
acedo	es	tart;soured;bittered;unpleasant;acid;sour;disagreeable;bleak	aceto	it	vinegar
acedo	es	tart;soured;bittered;unpleasant;acid;sour;disagreeable;bleak	aisy	fr	A ferment use to make Gruyère cheese
acela	ro	that	ce	fr	that;this
aceră	ro	eagle	águia	pt	eagle
aceră	ro	eagle	águila	es	shrewd person;crack;whizz;eagle
aceră	ro	eagle	aquila	it	eagle
aceră	ro	eagle	eagle	fr	eagle
acer	la	penetrating;sharp;bitter;subtle;active;piercing;energetic;vigorous;sour;pungent	acero	it	maple
acer	la	penetrating;sharp;bitter;subtle;active;piercing;energetic;vigorous;sour;pungent	agre	pt	tart;sour
acer	la	penetrating;sharp;bitter;subtle;active;piercing;energetic;vigorous;sour;pungent	agrio	es	sour;tangy
acer	la	penetrating;sharp;bitter;subtle;active;piercing;energetic;vigorous;sour;pungent	agro	es	field
acer	la	penetrating;sharp;bitter;subtle;active;piercing;energetic;vigorous;sour;pungent	agro	it	sour;vinegary
acer	la	penetrating;sharp;bitter;subtle;active;piercing;energetic;vigorous;sour;pungent	agro	osp	sour
acer	la	penetrating;sharp;bitter;subtle;active;piercing;energetic;vigorous;sour;pungent	aigre	fr	biting;shrill;sharp;acid;sour
acer	la	penetrating;sharp;bitter;subtle;active;piercing;energetic;vigorous;sour;pungent	aire	fr	zone;direction of the wind;range;surface area;area
acer	la	penetrating;sharp;bitter;subtle;active;piercing;energetic;vigorous;sour;pungent	arce	es	maple tree
acer	la	penetrating;sharp;bitter;subtle;active;piercing;energetic;vigorous;sour;pungent	arțar	ro	Norway maple
acer	la	penetrating;sharp;bitter;subtle;active;piercing;energetic;vigorous;sour;pungent	érable	fr	maple
acero	es	steel;arms	acciaio	it	steel
acero	es	steel;arms	acier	fr	steel
acero	es	steel;arms	haz	es	bundle
acero	it	maple	âcre	fr	acrid;bitter
acero	it	maple	acre	it	malevolent;sour;sharp;harsh
acero	it	maple	agre	pt	tart;sour
acero	it	maple	arțar	ro	Norway maple
acero	it	maple	érable	fr	maple
aceto	it	vinegar	acedo	es	tart;soured;bittered;unpleasant;acid;sour;disagreeable;bleak
aceto	it	vinegar	aisy	fr	A ferment use to make Gruyère cheese
acetum	la	shrewdness;wit;vinegar	acedo	es	tart;soured;bittered;unpleasant;acid;sour;disagreeable;bleak
acetum	la	shrewdness;wit;vinegar	aceto	it	vinegar
achegar	pt	to put within reach;to come closer;to bring closer	allegar	es	bring together;collect up;gather;to approach;to collect
achegar	pt	to put within reach;to come closer;to bring closer	aplegar	es	unite;to join
achegar	pt	to put within reach;to come closer;to bring closer	aplicar	es	to put something above another thing or in contact with another thing;to apply for a job;to smear;to apply;to use
achegar	pt	to put within reach;to come closer;to bring closer	aplica	ro	to apply
